make,name,battery,real_range,efficiency,charge_power,drive,seats,tow_hitch,top_speed,acceleration,value
VOLKSWAGEN,ID.5 Pro,77.0,455,169,680,RWD,5,True,180,6.7,48970
MERCEDES-BENZ,EQA 250+,70.5,420,168,500,FWD,5,True,160,8.6,52205
FORD,Mustang Mach-E ER AWD,91.0,445,204,390,AWD,5,True,180,5.8,65900
AUDI,Q8 e-tron Sportback 55 quattro,106.0,525,202,660,AWD,5,True,200,5.6,87550
XPENG,G9 RWD Long Range,93.1,480,194,1120,RWD,5,True,200,6.4,61600
RENAULT,5 E-Tech 40kWh 95hp,40.0,260,154,100,FWD,5,True,140,10.0,25000
GWM,ORA 3 48 kWh,45.4,260,175,240,FWD,5,False,160,8.3,38990
NIO,ET7 100 kWh,90.0,505,178,530,AWD,5,True,200,3.8,90900
KIA,EV6 Standard Range 2WD,54.0,305,177,750,RWD,5,True,185,8.5,46990
SKODA,Enyaq 60,58.0,335,173,450,RWD,5,True,160,8.7,44200
ZEEKR,X Privilege AWD,64.0,345,186,580,AWD,5,True,180,3.8,50470
PEUGEOT,e-2008 54 kWh,50.8,300,169,480,FWD,5,False,150,9.1,39450
VOLKSWAGEN,ID.3 Pro S - 4 Seats,77.0,455,169,680,RWD,4,True,160,7.9,47595
NIO,EL6 100 kWh,90.0,435,207,630,AWD,5,True,200,4.5,74500
VOYAH,Free 106 kWh,100.0,480,208,360,AWD,5,True,200,4.4,39767
VOLKSWAGEN,ID. Buzz GTX,79.0,335,236,520,AWD,5,True,160,6.5,75000
DACIA,Spring Electric 65 Extreme,25.0,160,156,170,FWD,4,False,125,13.7,24550
MERCEDES-BENZ,EQS 580 4MATIC,108.4,590,184,880,AWD,5,True,210,4.3,141705
LUCID,Air Touring,92.0,580,159,970,AWD,5,False,250,3.2,99000
BMW,iX M60,105.2,485,217,650,AWD,5,True,250,3.8,136100
PORSCHE,Taycan,82.3,485,170,1070,RWD,5,False,230,4.8,101500
PORSCHE,Taycan Turbo GT,97.0,475,204,1050,AWD,5,False,290,2.3,240000
BMW,iX2 eDrive20,64.7,395,164,530,FWD,5,True,170,8.6,49400
OPEL,Corsa Electric 50 kWh,46.3,295,157,470,FWD,5,False,150,8.7,34650
PEUGEOT,e-308,50.8,300,169,450,FWD,5,False,170,9.8,44765
VOLKSWAGEN,ID.4 Pure,52.0,285,182,360,RWD,5,True,160,9.0,40335
PEUGEOT,e-5008 98 kWh Long Range,98.0,490,200,640,FWD,7,True,170,9.7,60000
MG,Marvel R,70.0,365,192,400,RWD,5,True,200,7.9,46990
JAGUAR,I-Pace EV400,84.7,380,223,360,AWD,5,True,200,4.8,92400
AUDI,Q8 e-tron 50 quattro,89.0,425,209,660,AWD,5,True,200,6.0,74400
VOLKSWAGEN,ID.4 GTX,77.0,420,183,630,AWD,5,True,180,5.4,53255
DACIA,Spring Electric 65,25.0,160,156,170,FWD,4,False,125,13.7,20000
XPENG,G6 RWD Standard Range,66.0,375,176,750,RWD,5,True,200,6.9,45000
NISSAN,Ariya 63kWh,63.0,335,188,450,FWD,5,True,160,7.5,47490
